contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expiry,underlying,fetch_time
AAPL250808C00110000,2025-08-01 17:14:01+00:00,110.0,92.0,91.9,93.2,-7.0,-7.070707,7.0,51,1.95703146484375,True,REGULAR,USD,call,2025-08-08,AAPL,2025-08-02 22:29:11.642602
AAPL250808C00140000,2025-07-08 18:57:34+00:00,140.0,70.45,62.1,62.8,0.0,0.0,2.0,6063,1.109379453125,True,REGULAR,USD,call,2025-08-08,AAPL,2025-08-02 22:29:11.642602
AAPL250808C00145000,2025-08-01 13:54:28+00:00,145.0,62.24,57.0,58.25,-5.789997,-8.510947,69.0,69,1.2060586572265624,True,REGULAR,USD,call,2025-08-08,AAPL,2025-08-02 22:29:11.642602
AAPL250808C00150000,2025-08-01 14:21:42+00:00,150.0,55.5,51.75,53.3,-3.369999,-5.724476,45.0,22,1.013676806640625,True,REGULAR,USD,call,2025-08-08,AAPL,2025-08-02 22:29:11.642602
AAPL250808C00160000,2025-07-28 13:30:56+00:00,160.0,46.8,41.9,43.05,-7.1500015,-13.2530155,2.0,4,0.77148666015625,True,REGULAR,USD,call,2025-08-08,AAPL,2025-08-02 22:29:11.642602
AAPL250808C00165000,2025-08-01 16:02:15+00:00,165.0,38.85,36.85,38.1,-4.950001,-11.301372,2.0,32,0.6835969140625001,True,REGULAR,USD,call,2025-08-08,AAPL,2025-08-02 22:29:11.642602
AAPL250808C00170000,2025-08-01 18:40:46+00:00,170.0,34.2,32.0,33.4,-5.3999977,-13.636358,5.0,5,0.72851833984375,True,REGULAR,USD,call,2025-08-08,AAPL,2025-08-02 22:29:11.642602
AAPL250808C00175000,2025-08-01 18:26:10+00:00,175.0,28.5,26.45,27.95,-4.8499985,-14.542725,21.0,60,0.709963837890625,True,REGULAR,USD,call,2025-08-08,AAPL,2025-08-02 22:29:11.642602
AAPL250808C00180000,2025-08-01 18:26:10+00:00,180.0,23.67,21.95,23.3,-4.129999,-14.856112,1613.0,49,0.6801789794921876,True,REGULAR,USD,call,2025-08-08,AAPL,2025-08-02 22:29:11.642602
AAPL250808C00185000,2025-08-01 19:59:30+00:00,185.0,17.6,17.2,18.3,-6.6000004,-27.272728,43.0,230,0.56055126953125,True,REGULAR,USD,call,2025-08-08,AAPL,2025-08-02 22:29:11.642602
