contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expiry,underlying,fetch_time
AAPL250829C00120000,2025-08-01 17:56:59+00:00,120.0,82.3,82.1,83.3,-6.149994,-6.953074,9.0,7,0.9326178613281251,True,REGULAR,USD,call,2025-08-29,AAPL,2025-08-02 21:19:14.702290
AAPL250829C00140000,2025-08-01 19:58:48+00:00,140.0,62.74,62.15,63.2,-5.7599983,-8.408756,5.0,5,0.6777375976562501,True,REGULAR,USD,call,2025-08-29,AAPL,2025-08-02 21:19:14.702290
AAPL250829C00145000,2025-08-01 17:58:21+00:00,145.0,57.94,57.25,58.35,-8.950001,-13.3801775,4.0,10,0.6596713720703126,True,REGULAR,USD,call,2025-08-29,AAPL,2025-08-02 21:19:14.702290
AAPL250829C00150000,2025-07-30 19:06:17+00:00,150.0,58.2,52.05,53.65,0.0,0.0,1.0,1,0.6152382226562501,True,REGULAR,USD,call,2025-08-29,AAPL,2025-08-02 21:19:14.702290
AAPL250829C00155000,2025-08-01 17:58:21+00:00,155.0,47.88,46.9,48.1,-11.84,-19.825853,4.0,1,0.6081582153320313,True,REGULAR,USD,call,2025-08-29,AAPL,2025-08-02 21:19:14.702290
AAPL250829C00160000,2025-07-31 19:54:12+00:00,160.0,47.82,42.2,43.4,0.0,0.0,2.0,3,0.5942423388671876,True,REGULAR,USD,call,2025-08-29,AAPL,2025-08-02 21:19:14.702290
AAPL250829C00165000,2025-07-23 16:13:17+00:00,165.0,49.09,37.3,38.6,0.0,0.0,,1,0.5571333349609376,True,REGULAR,USD,call,2025-08-29,AAPL,2025-08-02 21:19:14.702290
AAPL250829C00170000,2025-08-01 18:30:53+00:00,170.0,34.42,32.75,33.9,-10.0700035,-22.634306,1.0,7,0.5255174401855469,True,REGULAR,USD,call,2025-08-29,AAPL,2025-08-02 21:19:14.702290
AAPL250829C00175000,2025-08-01 14:54:47+00:00,175.0,27.75,28.2,28.55,-6.830002,-19.751307,2.0,9,0.42639733764648446,True,REGULAR,USD,call,2025-08-29,AAPL,2025-08-02 21:19:14.702290
AAPL250829C00180000,2025-07-31 17:46:23+00:00,180.0,26.05,23.55,23.85,-3.9500008,-13.166669,5.0,115,0.39111937011718745,True,REGULAR,USD,call,2025-08-29,AAPL,2025-08-02 21:19:14.702290
AAPL250829C00185000,2025-08-01 18:39:29+00:00,185.0,20.65,19.1,19.4,-4.120001,-16.633026,13.0,155,0.3658510681152344,True,REGULAR,USD,call,2025-08-29,AAPL,2025-08-02 21:19:14.702290
AAPL250829C00190000,2025-08-01 19:50:28+00:00,190.0,15.42,14.95,15.2,-5.33,-25.686747,46.0,139,0.34265794067382804,True,REGULAR,USD,call,2025-08-29,AAPL,2025-08-02 21:19:14.702290
AAPL250829C00195000,2025-08-01 19:27:23+00:00,195.0,11.95,11.1,11.4,-5.000001,-29.49853,57.0,169,0.3238593005371093,True,REGULAR,USD,call,2025-08-29,AAPL,2025-08-02 21:19:14.702290
AAPL250829C00200000,2025-08-01 19:57:23+00:00,200.0,8.0,7.9,8.05,-4.8500004,-37.743195,1650.0,576,0.305671005859375,True,REGULAR,USD,call,2025-08-29,AAPL,2025-08-02 21:19:14.702290
AAPL250829C00205000,2025-08-01 19:59:15+00:00,205.0,5.3,5.2,5.35,-4.0999994,-43.617016,2763.0,410,0.29224340576171864,False,REGULAR,USD,call,2025-08-29,AAPL,2025-08-02 21:19:14.702290
AAPL250829C00210000,2025-08-01 19:59:47+00:00,210.0,3.25,3.2,3.3,-3.65,-52.898552,2253.0,1782,0.2810130493164062,False,REGULAR,USD,call,2025-08-29,AAPL,2025-08-02 21:19:14.702290
AAPL250829C00215000,2025-08-01 19:59:42+00:00,215.0,1.89,1.85,1.92,-2.9100003,-60.625004,2885.0,2761,0.274421318359375,False,REGULAR,USD,call,2025-08-29,AAPL,2025-08-02 21:19:14.702290
AAPL250829C00220000,2025-08-01 19:59:54+00:00,220.0,1.07,1.05,1.09,-2.0299997,-65.483864,3468.0,2363,0.27332269653320307,False,REGULAR,USD,call,2025-08-29,AAPL,2025-08-02 21:19:14.702290
AAPL250829C00225000,2025-08-01 19:59:12+00:00,225.0,0.62,0.6,0.64,-1.38,-69.0,1860.0,2450,0.27857166748046874,False,REGULAR,USD,call,2025-08-29,AAPL,2025-08-02 21:19:14.702290
AAPL250829C00230000,2025-08-01 19:59:41+00:00,230.0,0.38,0.37,0.38,-0.95000005,-71.42857,1317.0,4555,0.28565167480468745,False,REGULAR,USD,call,2025-08-29,AAPL,2025-08-02 21:19:14.702290
AAPL250829C00235000,2025-08-01 19:51:20+00:00,235.0,0.24,0.23,0.26,-0.59999996,-71.428566,944.0,2408,0.3002999658203125,False,REGULAR,USD,call,2025-08-29,AAPL,2025-08-02 21:19:14.702290
AAPL250829C00240000,2025-08-01 19:27:05+00:00,240.0,0.17,0.15,0.17,-0.34999996,-67.307686,964.0,1796,0.3110420458984374,False,REGULAR,USD,call,2025-08-29,AAPL,2025-08-02 21:19:14.702290
AAPL250829C00245000,2025-08-01 19:54:12+00:00,245.0,0.12,0.1,0.13,-0.22,-64.70588,752.0,1328,0.32813171874999997,False,REGULAR,USD,call,2025-08-29,AAPL,2025-08-02 21:19:14.702290
AAPL250829C00250000,2025-08-01 19:39:51+00:00,250.0,0.08,0.05,0.09,-0.17,-68.0,268.0,1529,0.3398503515625,False,REGULAR,USD,call,2025-08-29,AAPL,2025-08-02 21:19:14.702290
AAPL250829C00255000,2025-08-01 16:46:23+00:00,255.0,0.05,0.05,0.07,-0.13000001,-72.22223,79.0,234,0.3544986425781249,False,REGULAR,USD,call,2025-08-29,AAPL,2025-08-02 21:19:14.702290
AAPL250829C00260000,2025-08-01 14:22:49+00:00,260.0,0.05,0.03,0.06,-0.10000001,-66.66667,38.0,140,0.37305314453125,False,REGULAR,USD,call,2025-08-29,AAPL,2025-08-02 21:19:14.702290
AAPL250829C00265000,2025-08-01 13:41:38+00:00,265.0,0.03,0.02,0.04,-0.07,-70.0,5.0,54,0.3789124609375,False,REGULAR,USD,call,2025-08-29,AAPL,2025-08-02 21:19:14.702290
AAPL250829C00270000,2025-08-01 14:19:40+00:00,270.0,0.03,0.01,0.04,-0.049999997,-62.5,10.0,60,0.4023497265625,False,REGULAR,USD,call,2025-08-29,AAPL,2025-08-02 21:19:14.702290
AAPL250829C00275000,2025-07-31 15:37:55+00:00,275.0,0.04,0.0,0.03,-0.04,-50.0,1.0,73,0.41211525390625,False,REGULAR,USD,call,2025-08-29,AAPL,2025-08-02 21:19:14.702290
AAPL250829C00280000,2025-07-25 13:30:02+00:00,280.0,0.04,0.0,0.03,0.0,0.0,1.0,16,0.4335994140625,False,REGULAR,USD,call,2025-08-29,AAPL,2025-08-02 21:19:14.702290
AAPL250829C00285000,2025-07-31 15:34:48+00:00,285.0,0.03,0.0,0.03,0.0,0.0,41.0,38,0.45313046875,False,REGULAR,USD,call,2025-08-29,AAPL,2025-08-02 21:19:14.702290
AAPL250829C00290000,2025-07-31 13:31:27+00:00,290.0,0.02,0.0,0.08,0.0,0.0,20.0,36,0.5273484765625001,False,REGULAR,USD,call,2025-08-29,AAPL,2025-08-02 21:19:14.702290
AAPL250829C00295000,2025-07-21 13:48:03+00:00,295.0,0.03,0.0,0.02,0.0,0.0,10.0,11,0.476567734375,False,REGULAR,USD,call,2025-08-29,AAPL,2025-08-02 21:19:14.702290
AAPL250829C00300000,2025-07-23 14:15:45+00:00,300.0,0.01,0.0,0.01,0.0,0.0,,40,0.4687553125,False,REGULAR,USD,call,2025-08-29,AAPL,2025-08-02 21:19:14.702290
AAPL250829C00305000,2025-08-01 14:57:42+00:00,305.0,0.01,0.0,0.07,-0.01,-50.0,1.0,1,0.5410202148437502,False,REGULAR,USD,call,2025-08-29,AAPL,2025-08-02 21:19:14.702290
AAPL250829C00325000,2025-07-29 18:56:22+00:00,325.0,0.01,0.0,0.02,0.0,0.0,1.0,13,0.5468795312500001,False,REGULAR,USD,call,2025-08-29,AAPL,2025-08-02 21:19:14.702290
AAPL250829P00110000,2025-08-01 17:50:06+00:00,110.0,0.02,0.0,0.03,0.0,0.0,5.0,73,0.7500025,False,REGULAR,USD,put,2025-08-29,AAPL,2025-08-02 21:19:14.702290
AAPL250829P00120000,2025-08-01 17:03:33+00:00,120.0,0.02,0.01,0.04,-0.05,-71.42857,3.0,10,0.6796907031250001,False,REGULAR,USD,put,2025-08-29,AAPL,2025-08-02 21:19:14.702290
AAPL250829P00125000,2025-07-31 15:45:56+00:00,125.0,0.04,0.02,0.04,0.0,0.0,100.0,113,0.6445348046875,False,REGULAR,USD,put,2025-08-29,AAPL,2025-08-02 21:19:14.702290
AAPL250829P00130000,2025-08-01 14:34:46+00:00,130.0,0.04,0.02,0.04,-0.010000002,-20.000004,101.0,107,0.5976602734375001,False,REGULAR,USD,put,2025-08-29,AAPL,2025-08-02 21:19:14.702290
AAPL250829P00135000,2025-08-01 19:45:22+00:00,135.0,0.04,0.03,0.06,0.0,0.0,4.0,9,0.5742230078125,False,REGULAR,USD,put,2025-08-29,AAPL,2025-08-02 21:19:14.702290
AAPL250829P00140000,2025-08-01 17:26:45+00:00,140.0,0.05,0.05,0.07,-0.029999997,-37.499996,3.0,10,0.5449264257812501,False,REGULAR,USD,put,2025-08-29,AAPL,2025-08-02 21:19:14.702290
AAPL250829P00145000,2025-08-01 17:16:53+00:00,145.0,0.09,0.06,0.09,0.020000003,28.571432,12.0,150,0.5117236328125,False,REGULAR,USD,put,2025-08-29,AAPL,2025-08-02 21:19:14.702290
AAPL250829P00150000,2025-08-01 19:56:26+00:00,150.0,0.11,0.09,0.12,-0.030000001,-21.428572,97.0,144,0.49414568359375005,False,REGULAR,USD,put,2025-08-29,AAPL,2025-08-02 21:19:14.702290
AAPL250829P00155000,2025-08-01 18:04:19+00:00,155.0,0.13,0.13,0.15,-0.02000001,-13.33334,82.0,101,0.46094289062500005,False,REGULAR,USD,put,2025-08-29,AAPL,2025-08-02 21:19:14.702290
