contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expiry,underlying,fetch_time
AAPL250822C00110000,2025-07-31 13:31:11+00:00,110.0,97.65,91.25,93.35,0.0,0.0,1.0,17,1.4960962695312499,True,REGULAR,USD,call,2025-08-22,AAPL,2025-08-02 22:29:12.072941
AAPL250822C00120000,2025-07-25 14:48:54+00:00,120.0,94.76,81.7,83.65,0.0,0.0,4.0,4,1.0634812451171878,True,REGULAR,USD,call,2025-08-22,AAPL,2025-08-02 22:29:12.072941
AAPL250822C00130000,2025-07-29 13:47:59+00:00,130.0,83.23,71.65,73.8,0.0,0.0,4.0,7,0.9414068359375,True,REGULAR,USD,call,2025-08-22,AAPL,2025-08-02 22:29:12.072941
AAPL250822C00135000,2025-08-01 14:11:12+00:00,135.0,71.97,66.3,68.2,-5.0899963,-6.6052384,4.0,1,1.01953615234375,True,REGULAR,USD,call,2025-08-22,AAPL,2025-08-02 22:29:12.072941
AAPL250822C00140000,2025-08-01 14:11:12+00:00,140.0,67.02,61.15,63.5,-3.7600021,-5.312238,4.0,7,1.007329182128906,True,REGULAR,USD,call,2025-08-22,AAPL,2025-08-02 22:29:12.072941
AAPL250822C00145000,2025-08-01 14:11:12+00:00,145.0,62.04,56.9,58.75,-1.8400002,-2.880401,4.0,8,0.7700218310546876,True,REGULAR,USD,call,2025-08-22,AAPL,2025-08-02 22:29:12.072941
AAPL250822C00150000,2025-08-01 19:48:07+00:00,150.0,53.15,52.05,53.2,-5.7699966,-9.792934,10.0,8,0.6342810009765626,True,REGULAR,USD,call,2025-08-22,AAPL,2025-08-02 22:29:12.072941
AAPL250822C00155000,2025-07-31 13:38:40+00:00,155.0,52.17,46.45,48.2,-1.800003,-3.3351917,4.0,4,0.7221707470703125,True,REGULAR,USD,call,2025-08-22,AAPL,2025-08-02 22:29:12.072941
AAPL250822C00160000,2025-08-01 14:09:17+00:00,160.0,47.39,42.35,43.1,-3.6100006,-7.078432,4.0,1,0.5468795312500001,True,REGULAR,USD,call,2025-08-22,AAPL,2025-08-02 22:29:12.072941
AAPL250822C00165000,2025-08-01 19:30:03+00:00,165.0,38.35,37.15,38.15,-11.040001,-22.352705,10.0,7,0.5747112841796875,True,REGULAR,USD,call,2025-08-22,AAPL,2025-08-02 22:29:12.072941
AAPL250822C00170000,2025-08-01 14:41:01+00:00,170.0,34.5,32.4,33.6,-5.4000015,-13.533838,103.0,116,0.5705609350585938,True,REGULAR,USD,call,2025-08-22,AAPL,2025-08-02 22:29:12.072941
AAPL250822C00175000,2025-08-01 15:22:32+00:00,175.0,29.48,27.35,29.0,-5.5200005,-15.771429,11.0,18,0.5422409057617189,True,REGULAR,USD,call,2025-08-22,AAPL,2025-08-02 22:29:12.072941
AAPL250822C00180000,2025-08-01 18:37:01+00:00,180.0,24.73,22.95,23.4,-4.470001,-15.308224,26.0,58,0.40430283203125,True,REGULAR,USD,call,2025-08-22,AAPL,2025-08-02 22:29:12.072941
AAPL250822C00185000,2025-08-01 15:53:44+00:00,185.0,19.0,18.45,18.8,-6.1499996,-24.45328,34.0,48,0.37183245361328127,True,REGULAR,USD,call,2025-08-22,AAPL,2025-08-02 22:29:12.072941
AAPL250822C00190000,2025-08-01 19:46:40+00:00,190.0,14.5,14.25,14.5,-5.700001,-28.217825,55.0,95,0.34766277343749996,True,REGULAR,USD,call,2025-08-22,AAPL,2025-08-02 22:29:12.072941
AAPL250822C00195000,2025-08-01 19:50:00+00:00,195.0,10.5,10.4,10.55,-4.8100004,-31.417376,151.0,371,0.32459171508789053,True,REGULAR,USD,call,2025-08-22,AAPL,2025-08-02 22:29:12.072941
AAPL250822C00200000,2025-08-01 19:52:04+00:00,200.0,7.3,7.05,7.2,-4.5599995,-38.448563,1088.0,1138,0.30823445678710937,True,REGULAR,USD,call,2025-08-22,AAPL,2025-08-02 22:29:12.072941
AAPL250822C00205000,2025-08-01 19:59:53+00:00,205.0,4.5,4.4,4.55,-4.3999996,-49.438198,1857.0,440,0.29584444396972653,False,REGULAR,USD,call,2025-08-22,AAPL,2025-08-02 22:29:12.072941
