contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expiry,underlying,fetch_time
AAPL250815C00197500,2025-08-01 19:43:09+00:00,197.5,7.74,7.65,7.85,-5.0600004,-39.53125,567.0,525,0.3225165405273437,True,REGULAR,USD,call,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815C00200000,2025-08-01 19:59:53+00:00,200.0,6.17,6.0,6.25,-5.2200003,-45.829678,4466.0,17241,0.3161689477539062,True,REGULAR,USD,call,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815C00202500,2025-08-01 19:59:40+00:00,202.5,4.75,4.65,4.8,-4.75,-50.0,3690.0,661,0.30725790405273434,False,REGULAR,USD,call,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815C00205000,2025-08-01 19:59:56+00:00,205.0,3.52,3.45,3.55,-4.43,-55.723267,12596.0,18759,0.29822479125976553,False,REGULAR,USD,call,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815C00207500,2025-08-01 19:59:31+00:00,207.5,2.57,2.5,2.59,-4.1099997,-61.526943,7997.0,728,0.29444064941406245,False,REGULAR,USD,call,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815C00210000,2025-08-01 19:59:58+00:00,210.0,1.78,1.77,1.78,-3.6699998,-67.33945,21869.0,26505,0.28711650390624993,False,REGULAR,USD,call,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815C00212500,2025-08-01 19:58:16+00:00,212.5,1.23,1.2,1.27,-3.19,-72.17194,6949.0,2141,0.28955788574218744,False,REGULAR,USD,call,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815C00215000,2025-08-01 19:59:49+00:00,215.0,0.84,0.83,0.87,-2.5600002,-75.29412,27805.0,31400,0.28992409301757804,False,REGULAR,USD,call,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815C00217500,2025-08-01 19:58:41+00:00,217.5,0.61,0.58,0.61,-2.08,-77.32341,4757.0,3496,0.2941965112304687,False,REGULAR,USD,call,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815C00220000,2025-08-01 19:59:43+00:00,220.0,0.43,0.42,0.43,-1.5699999,-78.5,20567.0,48124,0.29932341308593746,False,REGULAR,USD,call,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815C00222500,2025-08-01 19:58:22+00:00,222.5,0.32,0.3,0.32,-1.23,-79.35484,2470.0,3608,0.3083565258789062,False,REGULAR,USD,call,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815C00225000,2025-08-01 19:59:53+00:00,225.0,0.24,0.22,0.24,-0.90999997,-79.13043,6683.0,36439,0.317389638671875,False,REGULAR,USD,call,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815C00227500,2025-08-01 19:57:18+00:00,227.5,0.19,0.17,0.21,-0.75,-79.78724,1324.0,2905,0.334967587890625,False,REGULAR,USD,call,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815C00230000,2025-08-01 19:55:39+00:00,230.0,0.14,0.14,0.15,-0.54,-79.411766,16071.0,66632,0.3398503515625,False,REGULAR,USD,call,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815C00232500,2025-08-01 19:58:14+00:00,232.5,0.1,0.09,0.12,-0.46,-82.14286,1079.0,1544,0.3505924316406249,False,REGULAR,USD,call,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815C00235000,2025-08-01 19:54:58+00:00,235.0,0.09,0.08,0.11,-0.34,-79.06977,4089.0,19891,0.36817038085937503,False,REGULAR,USD,call,2025-08-15,AAPL,2025-08-02 22:29:11.909129
